income_level,credit_score,employment_status,existing_debt,previous_default,loan_status
Low,Poor,Employed,Medium,No,Approved
Medium,Average,Employed,Low,No,Approved
Low,Good,Employed,High,Yes,Rejected
Medium,Average,Self-Employed,High,No,Approved
Medium,Poor,Unemployed,Medium,No,Rejected
Low,Average,Employed,High,No,Rejected
Low,Average,Employed,Medium,Yes,Approved
Medium,Good,Self-Employed,Low,Yes,Rejected
Medium,Average,Employed,Low,No,Approved
Low,Average,Employed,Low,No,Approved
Medium,Good,Unemployed,High,No,Rejected
High,Poor,Self-Employed,Medium,Yes,Rejected
Low,Good,Employed,Low,No,Approved
High,Average,Self-Employed,Low,Yes,Approved
Low,Average,Unemployed,Medium,No,Rejected
Medium,Good,Self-Employed,Medium,No,Approved
Medium,Poor,Employed,High,Yes,Rejected
Medium,Poor,Unemployed,High,No,Rejected
Medium,Poor,Unemployed,High,No,Rejected
High,Average,Employed,Low,No,Approved
Medium,Poor,Employed,High,No,Approved
High,Average,Employed,Low,No,Approved
High,Poor,Self-Employed,High,No,Rejected
Low,Average,Employed,Low,No,Approved
High,Poor,Self-Employed,Medium,No,Approved
Medium,Good,Self-Employed,High,Yes,Rejected
Low,Good,Self-Employed,Medium,No,Rejected
Low,Average,Employed,Low,Yes,Rejected
High,Average,Self-Employed,Medium,Yes,Approved
Medium,Average,Unemployed,Medium,Yes,Rejected
Low,Average,Employed,Medium,No,Approved
Medium,Poor,Self-Employed,Low,No,Rejected
Low,Average,Self-Employed,Medium,No,Approved
Medium,Good,Employed,Low,No,Approved
Medium,Good,Self-Employed,Medium,Yes,Approved
Medium,Average,Self-Employed,High,No,Approved
Low,Good,Employed,Low,No,Approved
Low,Average,Unemployed,High,Yes,Rejected
Medium,Poor,Unemployed,Medium,No,Rejected
High,Poor,Employed,Medium,No,Approved
High,Average,Self-Employed,Low,No,Approved
Medium,Average,Unemployed,Medium,No,Approved
Medium,Good,Self-Employed,High,No,Approved
Medium,Average,Employed,Medium,No,Approved
High,Poor,Employed,Medium,Yes,Rejected
Medium,Average,Employed,Low,No,Approved
High,Good,Self-Employed,High,No,Approved
Low,Average,Employed,Low,No,Approved
Low,Poor,Self-Employed,Low,No,Rejected
Low,Good,Employed,Low,No,Approved
Medium,Average,Self-Employed,Low,No,Approved
High,Average,Employed,Medium,No,Approved
Medium,Average,Employed,Medium,No,Approved
Medium,Average,Employed,Low,Yes,Approved
Low,Poor,Self-Employed,High,No,Rejected
Medium,Average,Employed,Medium,No,Approved
Medium,Good,Employed,Low,No,Approved
Medium,Average,Employed,Low,No,Approved
Low,Poor,Employed,High,Yes,Rejected
Medium,Average,Unemployed,Medium,No,Approved
Medium,Average,Self-Employed,Low,No,Approved
Medium,Average,Employed,Low,No,Approved
Medium,Poor,Self-Employed,High,No,Approved
Medium,Good,Employed,Medium,No,Rejected
High,Poor,Employed,Low,No,Approved
Medium,Poor,Self-Employed,Low,No,Approved
High,Average,Employed,Medium,No,Approved
Medium,Average,Self-Employed,High,Yes,Rejected
Medium,Poor,Employed,High,No,Approved
Low,Poor,Employed,High,No,Approved
Low,Average,Employed,High,No,Approved
High,Good,Self-Employed,High,No,Approved
Medium,Poor,Employed,Low,No,Approved
Low,Average,Employed,Low,No,Approved
Medium,Poor,Self-Employed,Medium,No,Approved
High,Average,Self-Employed,Low,No,Approved
High,Average,Employed,High,No,Approved
High,Average,Employed,High,No,Approved
High,Average,Employed,Medium,No,Approved
Medium,Average,Self-Employed,Medium,Yes,Approved
Low,Poor,Employed,High,Yes,Rejected
Low,Average,Unemployed,Low,Yes,Approved
Low,Good,Unemployed,Medium,No,Rejected
Medium,Good,Self-Employed,Medium,No,Approved
High,Average,Employed,Medium,Yes,Approved
Low,Average,Unemployed,Medium,No,Rejected
High,Poor,Self-Employed,High,No,Approved
High,Average,Unemployed,Medium,No,Approved
Medium,Good,Self-Employed,Medium,Yes,Rejected
Low,Poor,Self-Employed,Medium,No,Approved
Low,Good,Unemployed,Medium,Yes,Rejected
Medium,Good,Unemployed,High,No,Rejected
Medium,Average,Self-Employed,Medium,No,Approved
Medium,Average,Unemployed,Low,No,Approved
Low,Poor,Employed,Low,No,Approved
Low,Poor,Self-Employed,Low,No,Rejected
High,Average,Unemployed,High,Yes,Rejected
High,Average,Employed,High,No,Rejected
High,Good,Employed,High,No,Approved
High,Poor,Self-Employed,Low,No,Approved
Medium,Good,Unemployed,High,No,Approved
High,Good,Employed,High,No,Approved
Low,Average,Employed,High,No,Approved
Medium,Poor,Employed,Low,No,Approved
Low,Poor,Employed,Medium,Yes,Rejected
Medium,Poor,Employed,Low,No,Approved
High,Poor,Self-Employed,High,No,Approved
Medium,Average,Self-Employed,High,No,Approved
High,Average,Unemployed,Low,No,Approved
Medium,Good,Employed,High,No,Approved
Low,Poor,Employed,Low,Yes,Approved
