fever,cough,body_pain,sore_throat,fatigue,flu_risk
Yes,Yes,No,Yes,No,Low Risk
No,No,No,No,No,Low Risk
Yes,Yes,No,No,Yes,High Risk
No,No,No,No,Yes,Low Risk
No,No,Yes,No,No,Low Risk
No,Yes,No,Yes,No,High Risk
No,No,Yes,Yes,Yes,High Risk
Yes,No,No,Yes,Yes,High Risk
Yes,No,No,No,Yes,High Risk
No,Yes,No,Yes,No,High Risk
No,Yes,No,Yes,No,Low Risk
No,No,Yes,No,No,Low Risk
Yes,No,No,Yes,No,High Risk
Yes,Yes,Yes,Yes,Yes,High Risk
Yes,Yes,Yes,No,No,Low Risk
No,No,No,Yes,No,Low Risk
Yes,No,No,No,Yes,High Risk
No,Yes,No,No,No,Low Risk
No,No,No,Yes,No,High Risk
Yes,No,Yes,No,Yes,Low Risk
No,No,No,No,No,Low Risk
No,Yes,Yes,Yes,No,Low Risk
Yes,Yes,Yes,No,Yes,High Risk
No,Yes,No,No,No,High Risk
No,No,Yes,Yes,Yes,Low Risk
Yes,Yes,Yes,No,No,High Risk
No,Yes,No,No,Yes,Low Risk
No,Yes,Yes,Yes,Yes,High Risk
No,Yes,No,No,No,Low Risk
No,Yes,No,No,Yes,Low Risk
Yes,Yes,Yes,No,Yes,High Risk
No,No,Yes,No,Yes,Low Risk
Yes,No,Yes,No,Yes,Low Risk
No,Yes,No,No,No,Low Risk
Yes,Yes,No,Yes,No,Low Risk
No,Yes,Yes,No,No,Low Risk
No,No,Yes,No,No,High Risk
Yes,No,No,Yes,No,High Risk
No,No,Yes,No,Yes,Low Risk
Yes,Yes,No,No,Yes,High Risk
No,Yes,Yes,No,No,Low Risk
Yes,No,No,No,Yes,High Risk
No,No,No,Yes,Yes,High Risk
Yes,Yes,Yes,Yes,No,Low Risk
No,No,No,No,No,Low Risk
No,No,Yes,Yes,No,High Risk
Yes,No,No,No,No,High Risk
No,No,No,No,No,Low Risk
Yes,Yes,Yes,Yes,No,High Risk
No,Yes,Yes,Yes,Yes,High Risk
Yes,Yes,Yes,No,No,High Risk
Yes,Yes,Yes,No,Yes,Low Risk
No,No,Yes,No,Yes,High Risk
No,Yes,Yes,No,No,Low Risk
Yes,No,No,Yes,Yes,High Risk
Yes,Yes,Yes,Yes,Yes,High Risk
Yes,Yes,No,No,Yes,Low Risk
No,Yes,Yes,No,No,High Risk
No,Yes,Yes,No,Yes,High Risk
No,No,No,Yes,No,Low Risk
No,No,No,No,No,Low Risk
No,Yes,No,No,No,Low Risk
Yes,No,Yes,No,No,Low Risk
Yes,Yes,No,No,Yes,High Risk
No,Yes,Yes,No,Yes,High Risk
Yes,Yes,Yes,No,No,High Risk
No,Yes,No,Yes,No,Low Risk
No,Yes,No,No,Yes,High Risk
No,No,No,Yes,No,Low Risk
No,No,No,Yes,Yes,Low Risk
No,Yes,Yes,No,Yes,Low Risk
Yes,Yes,No,No,Yes,High Risk
Yes,Yes,No,No,Yes,High Risk
No,Yes,No,Yes,Yes,High Risk
No,Yes,No,Yes,No,Low Risk
No,No,Yes,No,Yes,Low Risk
Yes,No,Yes,No,Yes,High Risk
Yes,Yes,No,Yes,Yes,High Risk
Yes,No,No,Yes,Yes,High Risk
Yes,No,No,Yes,Yes,High Risk
Yes,No,Yes,Yes,Yes,High Risk
Yes,Yes,No,No,No,High Risk
Yes,No,Yes,Yes,Yes,High Risk
No,No,No,No,Yes,Low Risk
No,No,Yes,No,Yes,Low Risk
No,Yes,No,No,No,Low Risk
No,No,Yes,Yes,Yes,High Risk
No,No,Yes,Yes,Yes,High Risk
No,No,No,Yes,No,Low Risk
No,Yes,Yes,No,Yes,Low Risk
No,No,No,Yes,Yes,High Risk
No,No,No,Yes,Yes,Low Risk
Yes,Yes,Yes,Yes,No,High Risk
No,No,No,Yes,Yes,Low Risk
Yes,Yes,Yes,No,No,Low Risk
No,No,No,No,Yes,Low Risk
No,No,Yes,Yes,Yes,Low Risk
No,No,No,No,No,Low Risk
Yes,No,Yes,No,No,High Risk
No,Yes,Yes,No,No,High Risk
Yes,Yes,No,Yes,Yes,High Risk
Yes,Yes,No,No,No,Low Risk
No,No,No,No,No,Low Risk
Yes,Yes,No,No,Yes,High Risk
No,No,Yes,No,Yes,Low Risk
No,Yes,No,Yes,No,Low Risk
No,Yes,No,No,Yes,Low Risk
No,Yes,Yes,Yes,No,High Risk
Yes,No,No,Yes,No,High Risk
Yes,No,Yes,Yes,No,High Risk
No,No,No,Yes,Yes,High Risk
Yes,Yes,Yes,Yes,No,High Risk
No,No,No,No,Yes,High Risk
No,Yes,No,No,Yes,Low Risk
No,No,No,No,No,Low Risk
No,No,Yes,Yes,No,High Risk
Yes,Yes,No,Yes,Yes,Low Risk
Yes,No,Yes,Yes,Yes,High Risk
No,No,No,Yes,Yes,High Risk
Yes,Yes,No,Yes,Yes,Low Risk
